%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.position0,field.position1,field.position2,field.velocity0,field.velocity1,field.velocity2,field.effort0,field.effort1,field.effort2
12144000000,11913,12144000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.00393405806376812,-0.0006546918951686465,0.00031843484545746037,-0.5377528533164356,-0.13924274269184356,0.04302419059599545,0.5486764503481283,0.12636146285836866,-0.04660407444442622
12145000000,11914,12145000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.004492071879047543,-0.0008122520176714332,0.00035977325239588964,-0.558013828794151,-0.15756002880867204,0.04133840921083752,0.5771122173421854,0.14579208085354511,-0.04620993151041389
12146000000,11915,12146000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.005067894141506102,-0.0009883304513875757,0.0003986857851554504,-0.5758222772793063,-0.17607833382275392,0.03891253534994138,0.6029578216564396,0.1656857884440919,-0.04493789358642565
12147000000,11916,12147000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.005659370527924423,-0.001183059915152107,0.0004345390745656985,-0.5914764024662553,-0.19472935936835772,0.03585329222981076,0.6265295593543019,0.1859658723250605,-0.04290154342093788
12148000000,11917,12148000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.006264607747098694,-0.0013965137726605903,0.000466793491941786,-0.6052372363579471,-0.21345375012554113,0.03225442031072723,0.6481041065487759,0.20656538007100983,-0.04020126750480231
12149000000,11918,12149000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.006881941048634488,-0.0016287137747523772,0.0004949915607408428,-0.6173333197712261,-0.23219989306927902,0.028198071712511347,0.6679235761042148,0.22742570890381916,-0.03692540643789448
12150000000,11919,12150000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.007509905798297467,-0.0018796368007256703,0.0005187477110144556,-0.6279647688665745,-0.25092291646626846,0.023756153004325486,0.686199873422145,0.2484954822218155,-0.033151533540415154
12151000000,11920,12151000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.00814721260021578,-0.002149220745148561,0.0005377392637093692,-0.637306822006622,-0.2695838354137287,0.018991555057539078,0.7031184789517582,0.2697296159998553,-0.028947695265418228
12152000000,11921,12152000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.008792725518725675,-0.0024373696661283972,0.0005516985159976784,-0.6455129394072828,-0.2881488132787158,0.013959254067550164,0.718841746438876,0.2910885231144272,-0.02437355095293189
12153000000,11922,12153000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.009445443011758314,-0.002743958291119064,0.0005604058015364899,-0.6527175146635805,-0.3065885192556081,0.008707286483078391,0.7335117849410739,0.3125374262508368,-0.019481394767726576
12154000000,11923,12154000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.010104481237414475,-0.003068835962102945,0.0005636834093367682,-0.6590382479508294,-0.3248775677307234,0.00327760760957313,0.7472529798371578,0.3340457604698654,-0.014317061279418543
12155000000,11924,12155000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.010769059438176853,-0.003411830090661816,0.0005613902566894424,-0.6645782236617719,-0.3429940281928507,-0.0022931543381292108,0.7601741991984783,0.35558665200888023,-0.008920723302297463
12156000000,11925,12156000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.011438487144248555,-0.003772749184263624,0.0005534172234034074,-0.6694277295142216,-0.36091899642017294,-0.007973036929851685,0.7723707253717571,0.37713646269955,-0.0033275927184768213
12157000000,11926,12157000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.01211215296971524,-0.0041513854971411135,0.0005396830656119178,-0.673665849395341,-0.37863621909982254,-0.013734163977926817,0.7839259462289417,0.39867439142768923,0.0024314648358694036
12158000000,11927,12158000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.01278951480347601,-0.0045475173525018064,0.0005201308372937419,-0.6773618581258025,-0.39613176514105075,-0.01955223783490384,0.7949128360315619,0.42018212521764264,0.008329391236173204
12159000000,11928,12159000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.013470091221504887,-0.004960911176904226,0.0004947247565310064,-0.6805764427845173,-0.41339373783440164,-0.025406094704977455,0.8053952521780582,0.4416435337718056,0.01434246391520404
12160000000,11929,12160000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.014153453968566154,-0.00539132328252645,0.0004634474612990047,-0.6833627721656024,-0.4304120227583465,-0.03127731519902355,0.815429070717676,0.4630444019687331,0.020449882442634355
12161000000,11930,12161000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.014839221376407252,-0.005838501428644172,0.00042629760645152004,-0.6857674332514384,-0.4471780669748443,-0.037149883298337294,0.8250631806746465,0.48437219556804284,0.026633406416759382
12162000000,11931,12162000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.015527052601960634,-0.0063021861896830345,0.0003832877596670059,-0.6878312512350501,-0.4636846856122009,-0.04300988774819969,0.834340354754265,0.5056158560261459,0.03287703828311072
12163000000,11932,12163000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.016216642583621876,-0.006782112153822517,0.0003344425596187861,-0.6895900075813038,-0.479925892400947,-0.048845260681934066,0.8432980117746842,0.5267656207438655,0.039166745400225654
12164000000,11933,12164000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.01690771762631904,-0.007278008973035988,0.0002797971050432224,-0.6910750688263776,-0.4958967511206937,-0.054645549036954066,0.8519688843417416,0.547812865598034,0.04549021622185389
12165000000,11934,12165000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.017600031537311267,-0.00778960228268577,0.0002193955506735179,-0.6923139372996769,-0.5115932451514985,-0.0604017152585673,0.8603816035222613,0.5687499668731296,0.05183664549784838
12166000000,11935,12166000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.018293362244660827,-0.008316614505752717,0.00015328990820417943,-0.6933307338124196,-0.5270121621090309,-0.06610596578987205,0.8685612109587825,0.5895701800082223,0.05819654144013557
12167000000,11936,12167000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.01898750884064171,-0.008858765550905368,8.1539239658035e-05,-0.6941466225721195,-0.5421509876691415,-0.07175161494474969,0.8765296077518565,0.610267532270562,0.06456153267455472
12168000000,11937,12168000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.019682289016099475,-0.00941577337606514,4.243175694362833e-06,-0.6947802021580162,-0.5570077710901828,-0.07733307912472653,0.8843059498518284,0.6308367235733423,0.07092398389758245
12169000000,11938,12169000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.02037753961912081,-0.00998734849808347,-7.8659944912296e-05,-0.695250629808635,-0.5715750712784924,-0.0828619894291831,0.8919070133723053,0.6512729976054381,0.07724233571157123
12170000000,11939,12170000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.02107310029023246,-0.01057322405615313,-0.00016693008146173582,-0.6955606979690443,-0.5858755106783509,-0.08827124742570558,0.8993503245057081,0.6715660330326781,0.08367850222056938
12171000000,11940,12171000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.021768839259943107,-0.011173101741563052,-0.0002605686873549118,-0.695738996619734,-0.599877641203317,-0.09363896428064766,0.9066370724074293,0.6917357978887597,0.08992838645892624
12172000000,11941,12172000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.022464627401211246,-0.011786698516401906,-0.00035949096045850837,-0.6957881682136942,-0.613596733786008,-0.09892245171803116,0.913794529542792,0.7117478751848628,0.09623350243028149
12173000000,11942,12173000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.023160345960915762,-0.012413730561291025,-0.00046361254316185097,-0.6957185866703122,-0.6270320069526734,-0.10412169133755012,0.9208240471403669,0.7316147190606996,0.10250675186269853
12174000000,11943,12174000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.02385588499342184,-0.013053914206550665,-0.0005728479551292409,-0.6955390594780417,-0.6401836103893717,-0.10923548660161286,0.927734811519751,0.7513327232904181,0.10874774090202113
