%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.position0,field.position1,field.position2,field.velocity0,field.velocity1,field.velocity2,field.effort0,field.effort1,field.effort2
21062000000,20822,21055000000,,base_to_link1,link1_to_link2,link2_to_link3,0.0,0.0,0.0,2.8595407994009392e-15,2.0880595296151493e-14,1.723858952152487e-15,0.0,0.0,0.0
21062000000,20823,21056000000,,base_to_link1,link1_to_link2,link2_to_link3,-9.041727056668947e-05,1.464532251027606e-06,-1.6449846391708434e-06,-0.09041727041005077,0.0014643310854984797,-0.001644983957392502,0.0,0.0,0.0
21062000000,20824,21057000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0002576635632536295,-2.5945997359499984e-06,3.4672647410971535e-06,-0.1672462929614136,-0.00405856369072725,0.0051122461139622415,0.09132153368962694,-0.0014791790380701332,0.0016647260998255327
21062000000,20825,21058000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0004912141669741743,-1.6119245921153436e-05,1.7534986482381498e-05,-0.23355060486816637,-0.013524941662115994,0.01406772392553607,0.16982327640031014,0.004085079114404589,-0.005153858379441265
21062000000,20826,21059000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0007824619076259864,-4.1569158024223896e-05,4.019099981800167e-05,-0.2912477427628791,-0.02544994840498496,0.022656013783569184,0.23846358468528736,0.013685855893728378,-0.014278160936339507
21062000000,20827,21060000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0011241373235542085,-8.062816918386062e-05,7.00999120821777e-05,-0.3416754192015287,-0.03905900719933662,0.029908912304549624,0.29907398148498043,0.02586566250178413,-0.023138364881702594
21062000000,20828,21061000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0015099897636208226,-0.00013453709838184835,0.0001056497931859468,-0.3858524446914765,-0.05390890550922414,0.03554988123592538,0.3529195350579961,0.03986543229811595,-0.03075024085734064
21062000000,20829,21062000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.001934592714194494,-0.00020425382564415173,0.0001452414458489315,-0.4246029566666079,-0.06971668808170625,0.039591653055067906,0.40095659358681796,0.05525457416554521,-0.03681791391997214
21063000000,20830,21063000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0023932110611131208,-0.00029053561410652406,0.00018740060573918527,-0.45861835454266736,-0.08628173588153212,0.04215916059951615,0.4439550681923262,0.07175974375630954,-0.0413349305525894
21064000000,20831,21064000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.002881701714995799,-0.0003939851958962848,0.00023081310517358844,-0.48849066304573313,-0.10344951699320112,0.04341250051165793,0.4825590412175288,0.08918791337661632,-0.044408535099147245
21065000000,20832,21065000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.003396434092563183,-0.000515079514955552,0.00027432751304967695,-0.5147323882420415,-0.12109424309330924,0.043514409360849826,0.5173191364221222,0.1073905965070982,-0.046183055449614666
21066000000,20833,21066000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.003934223812288806,-0.0006541897439946709,0.00031694490061529024,-0.5377897318560316,-0.13911014332466112,0.04261738946125575,0.5487115803165943,0.12624679204671238,-0.04680741111332612
21067000000,20834,21067000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.004492276110719118,-0.0008115965293393756,0.0003578042822640626,-0.5580523119462047,-0.1574066916280577,0.04085938392167539,0.577150753895902,0.14565445850669914,-0.04642211639853887
21068000000,20835,21068000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.005068136949207158,-0.000987502322225886,0.0003961673615586747,-0.5758608533127707,-0.1759056929751156,0.038363081878729804,0.6029983478610043,0.16552589426226144,-0.04515478086576545
21069000000,20836,21069000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0056596504878587695,-0.0011820417209049694,0.0004314040503139438,-0.5915135547020578,-0.1945392942613667,0.03523669155889947,0.6265705644405626,0.18578494723525443,-0.04311923163050215
21070000000,20837,21070000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.006264921970908333,-0.0013952903242673287,0.0004629792842782976,-0.6052715002380407,-0.21324849596050313,0.0315752368694846,0.6481440596411375,0.20636512905633908,-0.04041611276027265
21071000000,20838,21071000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0068822852781149635,-0.0016272723966919145,0.0004904412520350121,-0.6173633254449157,-0.23198196338351376,0.02746197062148395,0.6679609837915559,0.2272082150635629,-0.037134023756213885
21072000000,20839,21072000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.007510274530536876,-0.0018779675429572151,0.0005134109854898483,-0.6279892716276562,-0.25069503674221066,0.0229697361134783,0.6862333233059681,0.24826313212243195,-0.033350791602907194
21073000000,20840,21073000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.008147599233209846,-0.0021473165385321735,0.000531573197976698,-0.6373247227636852,-0.2693488865545926,0.018162214747907968,0.703146671319999,0.2694850353933428,-0.029134707513472434
