%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.position0,field.position1,field.position2,field.velocity0,field.velocity1,field.velocity2,field.effort0,field.effort1,field.effort2
428000000,204,428000000,,base_to_link1,link1_to_link2,link2_to_link3,-1.0932113025017056,-0.07261271747578846,-0.04800608521390526,0.1760548382793363,0.4865433222027053,0.14938537290059511,0.31602930677488317,0.4583216697898518,0.09112560148841098
428000000,205,429000000,,base_to_link1,link1_to_link2,link2_to_link3,-1.093037577411133,-0.07212985480653256,-0.047857774592272584,0.17372509124810004,0.48286293941529496,0.14831060551618752,0.31660852901625347,0.45711050248087304,0.09069679708257006
430000000,206,430000000,,base_to_link1,link1_to_link2,link2_to_link3,-1.0928661718581818,-0.07165069764277199,-0.04771054812242159,0.1714055536093023,0.4791574357381913,0.14722645371937038,0.3172010251262769,0.45596226040937715,0.0902884582337915
431000000,207,431000000,,base_to_link1,link1_to_link2,link2_to_link3,-1.0926970754518948,-0.07117527011580016,-0.04756441485888896,0.1690964069306287,0.4754278007534345,0.14613324739131983,0.31780650721829673,0.45487619426710424,0.08990034531696445
432000000,208,432000000,,base_to_link1,link1_to_link2,link2_to_link3,-1.092530277623923,-0.07070359537825865,-0.0474193835299106,0.16679782860074793,0.47167501310854865,0.1450313128282929,0.31842468981952976,0.4538515557861267,0.08953221899999697
433000000,209,433000000,,base_to_link1,link1_to_link2,link2_to_link3,-1.0923657676326677,-0.07023569561507514,-0.047275462541018776,0.16450999187060678,0.4679000405197683,0.14392097273746374,0.3190552898550525,0.45288759784103405,0.089183840264484
434000000,210,434000000,,base_to_link1,link1_to_link2,link2_to_link3,-1.0922035345673713,-0.06977159205438621,-0.04713265997862237,0.1622330658966874,0.46410383977439723,0.1428025462423757,0.3196980266590188,0.45198357456719407,0.08885497046210666
435000000,211,435000000,,base_to_link1,link1_to_link2,link2_to_link3,-1.0920435673521762,-0.0693113049784646,-0.046990983613586224,0.15996721578256784,0.46028735673659626,0.14167634888309327,0.3203526219649433,0.45113874145488175,0.08854537133355933
436000000,212,436000000,,base_to_link1,link1_to_link2,link2_to_link3,-1.091885854750129,-0.0688548537346323,-0.04685044090482382,0.15771260262154324,0.45645152635598796,0.14054269261612817,0.3210187999143166,0.4503523554629929,0.08825480504345506
437000000,213,437000000,,base_to_link1,link1_to_link2,link2_to_link3,-1.0917303853671534,-0.06840225674616907,-0.04671103900286333,0.15546938353727072,0.45259727267414823,0.1394018858229472,0.3216962870415774,0.44962367511396373,0.0879830342295751
438000000,214,438000000,,base_to_link1,link1_to_link2,link2_to_link3,-1.0915771476559772,-0.06795353152320516,-0.04657278475343141,0.15323771172560607,0.4487255088384991,0.13825423330753533,0.32238481228365146,0.448951960598416,0.08772982201188384
439000000,215,439000000,,base_to_link1,link1_to_link2,link2_to_link3,-1.0914261299200199,-0.06750869467360676,-0.04643568470101833,0.15101773649564157,0.44483713711243367,0.1371000363052799,0.32308410697124756,0.44833647386809616,0.08749493204613046
440000000,216,440000000,,base_to_link1,link1_to_link2,link2_to_link3,-1.0912773203172357,-0.06706776191384378,-0.04629974509244583,0.14880960331012338,0.44093304889131585,0.13593959248455723,0.32379390483043835,0.44777647873762483,0.0872781285408486
441000000,217,441000000,,base_to_link1,link1_to_link2,link2_to_link3,-1.0911307068639262,-0.06663074807984248,-0.046164971880427785,0.14661345382567376,0.43701412471781514,0.13477319595306742,0.32451394197579475,0.44727124097541093,0.08707917629569906
442000000,218,442000000,,base_to_link1,link1_to_link2,link2_to_link3,-1.090986277438497,-0.0661976671378195,-0.046031370727126486,0.14442942593362113,0.43308123429924117,0.13360113726398626,0.32524395691742036,0.4468200283970791,0.08689784072997142
443000000,219,443000000,,base_to_link1,link1_to_link2,link2_to_link3,-1.0908440197851927,-0.0657685321951007,-0.045898947007697366,0.14225765379897995,0.4291352365274503,0.13242370342218313,0.32598369054345433,0.44642211095515805,0.08673388791370584
444000000,220,444000000,,base_to_link1,link1_to_link2,link2_to_link3,-1.0907039215177772,-0.06534335551091264,-0.0457677058138346,0.14009826790073485,0.4251769794993362,0.13124117788996786,0.3267328861352148,0.4460767608321703,0.08658708459159392
445000000,221,445000000,,base_to_link1,link1_to_link2,link2_to_link3,-1.0905659701231825,-0.06492214850715516,-0.04563765195730429,0.13795139507053472,0.42120730053922484,0.13005384059573,0.3274912893498261,0.4457832525210126,0.08645719821932296
446000000,222,446000000,,base_to_link1,link1_to_link2,link2_to_link3,-1.0904301529651175,-0.06450492177915201,-0.045508789973468744,0.13581715853207343,0.41722702622269864,0.12886196794183286,0.3282586482247307,0.44554086291403117,0.08634399698647321
447000000,223,447000000,,base_to_link1,link1_to_link2,link2_to_link3,-1.0902964572876357,-0.06409168510637553,-0.04538112412480899,0.13369567793960932,0.4132369724025772,0.12766583281134963,0.32903471317380806,0.44534887138832246,0.08624724984287901
