%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.position0,field.position1,field.position2,field.velocity0,field.velocity1,field.velocity2,field.effort0,field.effort1,field.effort2
11644000000,11403,11644000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.003934073390677639,-0.0006546871573842594,0.0003184341295314752,-0.53775782457256,-0.13924132864794853,0.04302426840638639,0.5486653488948658,0.1263585940888562,-0.04660294639775363
11645000000,11404,11645000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0044920937881496315,-0.0008122454775136845,0.00035977279571941523,-0.5580204109861241,-0.15755822643094253,0.04133866845961509,0.5770985584793364,0.14578820022179112,-0.04620860970170114
11646000000,11405,11646000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.00506792455273164,-0.000988321664122438,0.0003986858347566624,-0.5758307794057017,-0.17607608671320576,0.03891304162823278,0.6029413488676204,0.16568068120607937,-0.04493639641680924
11647000000,11406,11647000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.005679302630470673,-0.0011378683728224814,0.00030792475352470206,-0.6113780953172262,-0.14954657108797786,-0.09076108068116909,0.6265100249330181,0.13814796425213777,-0.3319013479357518
11648000000,11407,11648000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.006327682702641724,-0.001243528817152395,2.95248464645681e-05,-0.648380093281069,-0.10566029755253727,-0.27840066495633076,0.6681711216219329,0.06539127368822407,-0.49016393829312177
11649000000,11408,11649000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.00700813510361975,-0.0013000663543110136,-0.00046328444095422583,-0.6804524261014449,-0.05653742973718834,-0.4928082737121491,0.7116569203074863,-0.025066724162661633,-0.5883973774709049
11650000000,11409,11650000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.007713647815068114,-0.0013074526081968685,-0.001183081864629898,-0.7055127403317686,-0.007386205958815007,-0.7197973833306878,0.7505337771376424,-0.12115261590776524,-0.657501220933451
11651000000,11410,11651000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.008436948158939472,-0.0012678093299873794,-0.0021358789048999682,-0.7233003756640428,0.03964327268326415,-0.9527969848116542,0.7826492184824497,-0.21765283080075368,-0.711506028264277
11652000000,11411,11652000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.009171230837027977,-0.0011840650156553778,-0.0033245390462752766,-0.7342827117829622,0.08374426558552592,-1.1886601127150083,0.8076698572534375,-0.3123904340401997,-0.7568925171856087
11653000000,11412,11653000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.009910409028213607,-0.0010593736568491607,-0.004750331010733078,-0.7391782258647155,0.12469127119449953,-1.4257919943842334,0.825995020153242,-0.404523783872353,-0.7967488418166768
