%time,field.header.seq,field.header.stamp,field.header.frame_id,field.set_point,field.process_value,field.process_value_dot,field.error,field.time_step,field.command,field.p,field.i,field.d,field.i_clamp,field.antiwindup
47951000000,4780,47944000000,,0.0,-4.934826169034068e-06,-0.0032898394944818887,4.934826169034068e-06,0.001,0.0,0.0,0.0,0.0,0.0,0
47954000000,4781,47954000000,,0.0,-0.00012824745106954083,-0.01972255582001571,0.00012824745106954083,0.001,0.0,0.0,0.0,0.0,0.0,0
47964000000,4782,47964000000,,0.0,-0.0004155808658357074,-0.036094262375718215,0.0004155808658357074,0.001,0.0,0.0,0.0,0.0,0.0,0
47974000000,4783,47974000000,,0.0,-0.0008662200147728782,-0.052393445839091196,0.0008662200147728782,0.001,0.0,0.0,0.0,0.0,0.0,0
47984000000,4784,47984000000,,0.0,-0.0014796754255019806,-0.06867520917255421,0.0014796754255019806,0.001,0.0,0.0,0.0,0.0,0.0,0
47994000000,4785,47994000000,,0.0,-0.0022565173230830737,-0.08509165747047556,0.0022565173230830737,0.001,0.0,0.0,0.0,0.0,0.0,0
48004000000,4786,48004000000,,0.0,-0.0031995111153495515,-0.10192198578544749,0.0031995111153495515,0.001,0.0,0.0,0.0,0.0,0.0,0
48014000000,4787,48014000000,,0.0,-0.004315054942003016,-0.11960287198604433,0.004315054942003016,0.001,0.0,0.0,0.0,0.0,0.0,0
48024000000,4788,48024000000,,0.0,-0.00561492621819859,-0.13875992987804991,0.00561492621819859,0.001,0.0,0.0,0.0,0.0,0.0,0
48034000000,4789,48034000000,,0.0,-0.007118353394881538,-0.1602412829970186,0.007118353394881538,0.001,0.0,0.0,0.0,0.0,0.0,0
48044000000,4790,48044000000,,0.0,-0.008854440579796119,-0.1851544137467417,0.008854440579796119,0.001,0.0,0.0,0.0,0.0,0.0,0
48054000000,4791,48054000000,,0.0,-0.010864982783511223,-0.21490712498092598,0.010864982783511223,0.001,0.0,0.0,0.0,0.0,0.0,0
48064000000,4792,48064000000,,0.0,-0.013207714705020024,-0.25125278871305445,0.013207714705020024,0.001,0.0,0.0,0.0,0.0,0.0,0
48074000000,4793,48074000000,,0.0,-0.015960027567279766,-0.29633781508541057,0.015960027567279766,0.001,0.0,0.0,0.0,0.0,0.0,0
48084000000,4794,48084000000,,0.0,-0.01922314414580839,-0.35274461692957565,0.01922314414580839,0.001,0.0,0.0,0.0,0.0,0.0,0
48094000000,4795,48094000000,,0.0,-0.02312664492772676,-0.4235187135170113,0.02312664492772676,0.001,0.0,0.0,0.0,0.0,0.0,0
48104000000,4796,48104000000,,0.0,-0.02783310616081458,-0.5121624863731593,0.02783310616081458,0.001,0.0,0.0,0.0,0.0,0.0,0
48114000000,4797,48114000000,,0.0,-0.03354234711876103,-0.6225644813475413,0.03354234711876103,0.001,0.0,0.0,0.0,0.0,0.0,0
48124000000,4798,48124000000,,0.0,-0.04049441598026604,-0.7588202450708178,0.04049441598026604,0.001,0.0,0.0,0.0,0.0,0.0,0
48134000000,4799,48134000000,,0.0,-0.048969968354917626,-0.9248974806560396,0.048969968354917626,0.001,0.0,0.0,0.0,0.0,0.0,0
48144000000,4800,48144000000,,0.0,0.011513634313055299,6.836680405509846,-0.011513634313055299,0.001,0.0,0.0,0.0,0.0,0.0,0
48154000000,4801,48154000000,,0.0,0.07978711811806338,6.81306181777936,-0.07978711811806338,0.001,0.0,0.0,0.0,0.0,0.0,0
48164000000,4802,48164000000,,0.0,0.14757342795495276,6.74313586995129,-0.14757342795495276,0.001,0.0,0.0,0.0,0.0,0.0,0
48174000000,4803,48174000000,,0.0,0.2143786620282624,6.621107501385069,-0.2143786620282624,0.001,-0.0,0.0,0.0,0.0,0.0,0
48184000000,4804,48184000000,,0.0,0.2796564425483332,6.4429119855694745,-0.2796564425483332,0.001,-0.0,0.0,0.0,0.0,0.0,0
48194000000,4805,48194000000,,0.0,0.3428419529343687,6.208629642338912,-0.3428419529343687,0.001,-0.0,0.0,0.0,0.0,0.0,0
48204000000,4806,48204000000,,0.0,0.4033933367640552,5.922194098962256,-0.4033933367640552,0.001,-0.0,0.0,0.0,0.0,0.0,0
48214000000,4807,48214000000,,0.0,0.460822037985289,5.589800995569613,-0.460822037985289,0.001,-0.0,0.0,0.0,0.0,0.0,0
48224000000,4808,48224000000,,0.0,0.5147056099187957,5.218169089906633,-0.5147056099187957,0.001,-0.0,0.0,0.0,0.0,0.0,0
48234000000,4809,48234000000,,0.0,0.5646856333381844,4.813305288799916,-0.5646856333381844,0.001,-0.0,0.0,0.0,0.0,0.0,0
48244000000,4810,48244000000,,0.0,0.6104566982259811,4.379878831327213,-0.6104566982259811,0.001,-0.0,0.0,0.0,0.0,0.0,0
48254000000,4811,48254000000,,0.0,0.6517518082921754,3.921053318220972,-0.6517518082921754,0.001,-0.0,0.0,0.0,0.0,0.0,0
48264000000,4812,48264000000,,0.0,0.688327716850635,3.4385854449043163,-0.688327716850635,0.001,-0.0,0.0,0.0,0.0,0.0,0
48274000000,4813,48274000000,,0.0,0.719952012279248,2.9330450322942725,-0.719952012279248,0.001,-0.0,0.0,0.0,0.0,0.0,0
48284000000,4814,48284000000,,0.0,0.7463926379833277,2.404068147068235,-0.7463926379833277,0.001,-0.0,0.0,0.0,0.0,0.0,0
48294000000,4815,48294000000,,0.0,0.767409902693033,1.8505985048549456,-0.767409902693033,0.001,-0.0,0.0,0.0,0.0,0.0,0
48304000000,4816,48304000000,,0.0,0.7827507499089483,1.2710994560182831,-0.7827507499089483,0.001,-0.0,0.0,0.0,0.0,0.0,0
48314000000,4817,48314000000,,0.0,0.7921449698581329,0.6637341282048981,-0.7921449698581329,0.001,-0.0,0.0,0.0,0.0,0.0,0
48324000000,4818,48324000000,,0.0,0.7953030637676965,0.026519849376089866,-0.7953030637676965,0.001,-0.0,0.0,0.0,0.0,0.0,0
48334000000,4819,48334000000,,0.0,0.7919155649192904,-0.6425310787810368,-0.7919155649192904,0.001,0.0,0.0,0.0,0.0,0.0,0
48344000000,4820,48344000000,,0.0,0.7816537761569071,-1.3452655948041974,-0.7816537761569071,0.001,0.0,0.0,0.0,0.0,0.0,0
48354000000,4821,48354000000,,0.0,0.7641721219661983,-2.0832102277565108,-0.7641721219661983,0.001,0.0,0.0,0.0,0.0,0.0,0
48364000000,4822,48364000000,,0.0,0.7391126880820496,-2.8573117560643944,-0.7391126880820496,0.001,0.0,0.0,0.0,0.0,0.0,0
48374000000,4823,48374000000,,0.0,0.7061131203211284,-3.6675249719079357,-0.7061131203211284,0.001,0.0,0.0,0.0,0.0,0.0,0
48384000000,4824,48384000000,,0.0,0.6648199994054087,-4.512133466905149,-0.6648199994054087,0.001,0.0,0.0,0.0,0.0,0.0,0
48394000000,4825,48394000000,,0.0,0.6149112341652456,-5.386636366076809,-0.6149112341652456,0.001,0.0,0.0,0.0,0.0,0.0,0
